time_usec,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,label,type
144770951796,9.851848602294922,-0.11246266216039658,0.43579283356666565,0.0021379655227065086,0.058335911482572556,7.635590736754239e-05,Normal,Normal
144770954231,9.779765129089355,-0.059820566326379776,0.4381856322288513,0.002748812548816204,0.14202198386192322,-0.0017561858985573053,Normal,Normal
144770956666,9.734301567077637,-0.0023928226437419653,0.20338992774486542,0.010078979656100273,0.19272230565547943,-0.0023670331574976444,Normal,Normal
144770959102,9.748658180236816,0.040677983313798904,-0.19142581522464752,0.003359660040587187,0.19944162666797638,-0.005421269219368696,Normal,Normal
144770961537,9.772586822509766,0.04546362906694412,-0.6607181429862976,0.006413896102458239,0.16156910359859467,-0.00786465872079134,Normal,Normal
144770963972,9.774979591369629,0.05503492057323456,-1.0821540355682373,0.007635590620338917,0.08338065445423126,-0.004810422193259001,Normal,Normal
144770966407,9.779765129089355,0.02153540402650833,-1.3668999671936035,0.0009162708884105086,-0.008857285603880882,-0.005421269219368696,Normal,Normal
144770968843,9.779765129089355,-0.007178467698395252,-1.4820544719696045,-0.0015271181473508477,-0.10842538625001907,-0.0017561858985573053,Normal,Normal
144770971278,9.794121742248535,-0.019142581149935722,-1.374078392982483,-0.006413896102458239,-0.17745113372802734,0.006184828467667103,Normal,Normal
144770973713,9.854242324829102,-0.016749758273363113,-1.0941181182861328,-0.009468132629990578,-0.21226942539215088,0.012293301522731781,Normal,Normal
144770976148,9.89970588684082,0.01196411345154047,-0.7085745930671692,-0.01435491070151329,-0.19883078336715698,0.014125842601060867,Normal,Normal
144770978583,9.926026344299316,0.038285162299871445,-0.2874378263950348,-0.0198525357991457,-0.144465371966362,0.014736690558493137,Normal,Normal
144770981019,9.926026344299316,0.062213387340307236,0.04785645380616188,-0.018019994720816612,-0.05528167635202408,0.00862821750342846,Normal,Normal
144770983454,9.875777244567871,0.04785645380616188,0.23210379481315613,-0.022906772792339325,0.04367557913064957,0.005573981441557407,Normal,Normal
144770985889,9.837491989135742,0.031106693670153618,0.21774685382843018,-0.02351761981844902,0.1304158866405487,0.0031305921729654074,Normal,Normal
144770988324,9.789336204528809,-0.007178467698395252,-0.0023928226437419653,-0.0198525357991457,0.19088977575302124,7.635590736754239e-05,Normal,Normal
144770990760,9.763015747070312,-0.02632104977965355,-0.3640081584453583,-0.02229592576622963,0.20188501477241516,-0.0023670331574976444,Normal,Normal
144770993195,9.72951602935791,-0.0526420995593071,-0.7612167000770569,-0.018019994720816612,0.1701209545135498,-0.0035887276753783226,Normal,Normal
144770995630,9.7366943359375,-0.05742774158716202,-1.0941181182861328,-0.01435491070151329,0.10048437118530273,-0.0017561858985573053,Normal,Normal
144770998065,9.7366943359375,-0.0526420995593071,-1.2855439186096191,-0.01252236869186163,0.009468132629990578,-0.0017561858985573053,Normal,Normal
144771000501,9.75105094909668,-0.019142581149935722,-1.2735798358917236,-0.007024743594229221,-0.07543963938951492,0.00129805039614439,Normal,Normal
144771002936,9.772586822509766,-0.0023928226437419653,-1.0869396924972534,-0.003359660040587187,-0.1426328420639038,7.635590736754239e-05,Normal,Normal
144771005371,9.8207426071167,-0.007178467698395252,-0.7755736112594604,-0.0009162708884105086,-0.1713426560163498,0.0031305921729654074,Normal,Normal
144771007806,9.89970588684082,-0.04307080805301666,-0.4142574071884155,0.003970507066696882,-0.16645587980747223,0.0037414394319057465,Normal,Normal
144771010241,9.971489906311035,-0.05503492057323456,-0.06699903309345245,0.0009162708884105086,-0.12369657307863235,0.005573981441557407,Normal,Normal
144771012677,10.033703804016113,-0.04307080805301666,0.20817556977272034,0.0015271181473508477,-0.05405998229980469,0.009239064529538155,Normal,Normal
144771015112,10.074381828308105,-0.04307080805301666,0.3616153299808502,-0.003359660040587187,0.028404397889971733,0.00862821750342846,Normal,Normal
144771017547,10.098309516906738,-0.016749758273363113,0.32572299242019653,0.00030542362947016954,0.10109522193670273,0.004963133949786425,Normal,Normal
144771019982,10.076774597167969,0.014356935396790504,0.11485548317432404,0.00030542362947016954,0.14996300637722015,0.0031305921729654074,Normal,Normal
144771022418,10.002596855163574,0.038285162299871445,-0.2105683982372284,-0.002748812548816204,0.1701209545135498,-0.004810422193259001,Normal,Normal
144771024853,9.92841911315918,0.02392822690308094,-0.5937191247940063,-0.006413896102458239,0.14629791676998138,-0.00786465872079134,Normal,Normal
144771027288,9.856635093688965,0.0,-0.9864411354064941,-0.007635590620338917,0.09437590092420578,-0.009697199799120426,Normal,Normal
144771029723,9.755837440490723,-0.038285162299871445,-1.2687941789627075,-0.005803049076348543,0.018630841746926308,-0.008475505746901035,Normal,Normal
144771032158,9.669695854187012,-0.05024927482008934,-1.374078392982483,-0.00519220158457756,-0.05650337040424347,-0.00786465872079134,Normal,Normal
144771034593,9.660123825073242,-0.02632104977965355,-1.3334003686904907,-0.009468132629990578,-0.12430741637945175,-0.005421269219368696,Normal,Normal
144771037029,9.72951602935791,0.01196411345154047,-1.1491531133651733,-0.007024743594229221,-0.15973655879497528,-0.0023670331574976444,Normal,Normal
144771039464,9.794121742248535,0.05503492057323456,-0.8258228898048401,-0.008857285603880882,-0.1695101112127304,-0.0035887276753783226,Normal,Normal
144771041899,9.849455833435059,0.07657032459974289,-0.4501497745513916,-0.010078979656100273,-0.13530266284942627,-0.0023670331574976444,Normal,Normal
144771044334,9.911669731140137,0.08853443711996078,-0.09571290761232376,-0.009468132629990578,-0.07421794533729553,-0.0017561858985573053,Normal,Normal
144771046770,9.930811882019043,0.10049854964017868,0.16031911969184875,-0.003359660040587187,0.002748812548816204,7.635590736754239e-05,Normal,Normal
144771049205,9.904491424560547,0.09092725813388824,0.29700911045074463,-0.011911521665751934,0.08093725889921188,-0.0017561858985573053,Normal,Normal
144771051640,9.851848602294922,0.08374879509210587,0.2512463629245758,-0.0021379655227065086,0.14629791676998138,-0.0029778804164379835,Normal,Normal
144771054075,9.827920913696289,0.07417750358581543,-0.016749758273363113,-0.00519220158457756,0.17378604412078857,-0.0023670331574976444,Normal,Normal
144771056511,9.849455833435059,0.035892341285943985,-0.41186460852622986,-0.004581354558467865,0.16279079020023346,0.0019088976550847292,Normal,Normal
