time_usec,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,label,type
144615319821,9.609874725341797,-0.4740779995918274,-0.6678966283798218,-0.008246437646448612,0.10048437118530273,0.012064233422279358,Normal,Normal
144615322257,9.62901782989502,-0.5841478109359741,-0.8428717851638794,0.032069481909275055,0.13530266284942627,0.004123218823224306,Normal,Normal
144615324692,9.703194618225098,-0.6678966283798218,-1.1443674564361572,0.05650337040424347,0.14018943905830383,0.0022906772792339325,Normal,Normal
144615327127,9.818050384521484,-0.6774678826332092,-1.4605190753936768,0.08032641559839249,0.11331216990947723,-0.0032069480512291193,Normal,Normal
144615329562,9.971489906311035,-0.6176473498344421,-1.7428722381591797,0.09009996801614761,0.06322269141674042,-0.007482878863811493,Normal,Normal
144615331998,10.117452621459961,-0.5171487927436829,-1.8768702745437622,0.0925433561205864,0.003970507066696882,-0.011147962883114815,Normal,Normal
144615334433,10.172487258911133,-0.39990049600601196,-1.872084617614746,0.08215895295143127,-0.04734066128730774,-0.01847812905907631,Normal,Normal
144615336868,10.148558616638184,-0.3281157910823822,-1.7428722381591797,0.06139015033841133,-0.07666133344173431,-0.024586603045463562,Normal,Normal
144615339303,10.079167366027832,-0.2874378263950348,-1.5346965789794922,0.03573456406593323,-0.08276980370283127,-0.02886253222823143,Normal,Normal
144615341739,9.93559741973877,-0.26560330390930176,-1.319043517112732,0.007024743594229221,-0.05772506445646286,-0.027029991149902344,Normal,Normal
144615344174,9.76062297821045,-0.25363919138908386,-1.1682956218719482,-0.025961007922887802,-0.019241688773036003,-0.024586603045463562,Normal,Normal
144615346609,9.62901782989502,-0.23449662327766418,-1.1204391717910767,-0.055892523378133774,0.028404397889971733,-0.01725643500685692,Normal,Normal
144615349044,9.550054550170898,-0.20578274130821228,-1.201795220375061,-0.0778830274939537,0.06688777357339859,-0.008093725889921188,Normal,Normal
144615351480,9.48784065246582,-0.16031911969184875,-1.4003994464874268,-0.09987352788448334,0.07971556484699249,-0.0007635590736754239,Normal,Normal
144615353915,9.432806015014648,-0.17228323221206665,-1.683051586151123,-0.11209046840667725,0.06749862432479858,0.008399149402976036,Normal,Normal
144615356350,9.428020477294922,-0.2153540402650833,-1.9752750396728516,-0.11636640131473541,0.03145863488316536,0.013896775431931019,Normal,Normal
144615358786,9.459127426147461,-0.29700911045074463,-2.169093608856201,-0.1175880953669548,-0.0198525357991457,0.020005248486995697,Normal,Normal
144615361221,9.499805450439453,-0.3735794425010681,-2.2648067474365234,-0.10781454294919968,-0.0791047215461731,0.030389651656150818,Normal,Normal
144615363656,9.60508918762207,-0.4573282301425934,-2.2600209712982178,-0.09865183383226395,-0.1298050433397293,0.032222192734479904,Normal,Normal
